Word,Time_s,F1_Hz,F2_Hz,F3_Hz,F4_Hz
pants,1.146250,1882.591131,3087.916750,4017.586982,4992.879485
look,1.152500,1646.540136,2836.724393,3907.440660,4948.211199
look,1.158750,2009.587480,3118.362525,--undefined--,--undefined--
look,1.165000,2043.730859,3123.823499,--undefined--,--undefined--
look,1.171250,1898.235723,3079.199265,--undefined--,--undefined--
look,1.177500,1566.284604,2332.710903,3796.157164,4321.932147
look,1.183750,1474.415289,2295.671618,3870.393237,5229.655751
look,1.190000,528.698179,2509.772032,3806.159704,4146.248487
look,1.196250,1682.826651,2883.600701,4246.176974,5235.627875
look,1.202500,500.414072,1934.823239,3044.809098,4233.070543
look,1.208750,498.851706,2219.926939,2752.975995,4122.930879
look,1.215000,441.967727,2796.840722,3120.969058,4737.777109
look,1.221250,356.094596,971.639375,2811.091451,4458.947928
look,1.227500,374.367508,903.936646,2849.622853,4653.110579
look,1.233750,390.739555,897.149196,2916.996703,4600.553867
look,1.240000,422.244732,844.157061,2980.398881,4603.759424
look,1.246250,473.133769,887.057605,2953.898564,4625.000093
look,1.252500,506.126476,924.919822,3089.499331,4683.081310
look,1.258750,522.838675,923.221098,3308.567460,4682.140234
look,1.265000,537.842371,958.550176,3355.770851,4683.230526
look,1.271250,549.488232,993.179708,3361.377639,4667.127839
look,1.277500,546.860895,1010.958329,3418.030376,4693.345493
look,1.283750,544.181048,1016.332728,3431.766169,4786.806870
look,1.290000,548.163548,1020.822821,3343.402401,4650.117409
look,1.296250,549.347985,1022.126314,3303.888965,4548.614882
look,1.302500,544.422641,1021.429030,3356.074712,4535.945806
look,1.308750,539.264966,1023.556531,3385.500536,3490.627046
look,1.315000,544.581018,1017.901797,3361.711705,4539.723430
look,1.321250,544.792822,1016.372754,3365.293092,4366.479040
look,1.327500,543.604627,1009.530098,3351.416626,4488.180345
look,1.333750,561.275797,999.643460,3331.342604,4479.145853
look,1.340000,543.839052,985.143597,3341.232842,4435.659517
look,1.346250,521.901066,991.277093,3326.417569,4335.296655
look,1.352500,519.668831,1016.489017,3355.435652,4293.462604
look,1.358750,506.274464,1051.228329,3391.923960,4504.468874
look,1.365000,501.747687,1047.632744,3364.862745,4555.421329
look,1.371250,497.536895,1061.043059,3324.082635,4494.471185
look,1.377500,520.119763,1030.932858,3228.012993,3926.701814
look,1.383750,573.691429,1024.574000,3014.997611,4460.126430
look,1.390000,638.534456,1018.672639,2934.602531,4156.165012
look,1.396250,713.197152,1023.483401,2972.522668,4037.191513
look,1.402500,847.837606,1005.240397,3066.541004,4035.746226
look,1.408750,976.942514,1012.060856,2727.876384,3921.441418
look,1.415000,955.433709,2343.876079,3793.257018,4859.557848
look,1.421250,975.719907,2460.951801,3755.708560,4956.974088
look,1.427500,903.315491,2011.935934,2883.779538,3971.733971
look,1.433750,775.739378,2062.982479,2810.206422,3820.986566
look,1.440000,723.384504,1961.179561,3030.023281,3923.152243
look,1.446250,701.506431,1963.464639,3202.858219,4221.307583
look,1.452500,769.660016,2039.374040,3048.544347,4023.480823
great,1.458750,743.645238,2014.564489,2733.175905,4001.823459
great,1.465000,763.699106,2174.945748,2747.255405,3804.988226
great,1.471250,814.626230,2102.031663,2744.573729,3721.163915
great,1.477500,958.397354,1700.431068,2806.112086,3850.308179
great,1.483750,992.320123,1768.297202,2988.922767,4039.644169
great,1.490000,1140.943291,1790.367644,3004.585543,4660.897985
great,1.496250,1143.235750,1810.586527,2920.830951,4760.980549
great,1.502500,1035.391620,1803.212819,3014.153097,4804.216652
great,1.508750,966.042988,1749.615184,2372.043164,3079.940797
great,1.515000,988.295516,1706.432520,3097.982068,4830.607096
great,1.521250,599.549539,1672.324126,2842.107220,4817.240801
great,1.527500,473.893144,1692.994433,2489.709001,3548.372115
great,1.533750,474.647643,1632.575926,2262.152369,4702.175869
